Channels:	1
Count:	300
Start:	45432.755904	05/20/2024 11:08:30
End:	45432.759364	05/20/2024 11:13:29
Parameters	0	 																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												

Date	Time	Time Stamp	Time from Start	BIO1
05/20/2024	     11:10:32	       45432.757315567	122.000000	     -1.532525e+00	                                                                                                     
05/20/2024	     11:10:33	       45432.757327141	123.000000	     -1.576100e+00	                                                                                                     
05/20/2024	     11:10:34	       45432.757338715	124.000000	     -1.578739e+00	                                                                                                     
05/20/2024	     11:10:35	       45432.757350289	125.000000	     -1.590453e+00	                                                                                                     
05/20/2024	     11:10:36	       45432.757361863	126.000000	     -1.562759e+00	                                                                                                     
05/20/2024	     11:10:37	       45432.757373437	127.000000	     -1.579035e+00	                                                                                                     
05/20/2024	     11:10:38	       45432.757385012	128.000000	     -1.570206e+00	                                                                                                     
05/20/2024	     11:10:39	       45432.757396586	129.000000	     -1.574670e+00	                                                                                                     
05/20/2024	     11:10:40	       45432.757408160	130.000000	     -1.593240e+00	                                                                                                     
05/20/2024	     11:10:41	       45432.757419734	131.000000	     -1.638048e+00	                                                                                                     
05/20/2024	     11:10:42	       45432.757431308	132.000000	     -1.627444e+00	                                                                                                     
05/20/2024	     11:10:43	       45432.757442882	133.000000	     -1.609294e+00	                                                                                                     
05/20/2024	     11:10:44	       45432.757454456	134.000000	     -1.615927e+00	                                                                                                     
05/20/2024	     11:10:45	       45432.757466030	135.000000	     -1.587987e+00	                                                                                                     
05/20/2024	     11:10:46	       45432.757477604	136.000000	     -1.594349e+00	                                                                                                     
05/20/2024	     11:10:47	       45432.757489178	137.000000	     -1.617407e+00	                                                                                                     
05/20/2024	     11:10:48	       45432.757500752	138.000000	     -1.611587e+00	                                                                                                     
05/20/2024	     11:10:49	       45432.757512326	139.000000	     -1.603523e+00	                                                                                                     
05/20/2024	     11:10:50	       45432.757523900	140.000000	     -1.600712e+00	                                                                                                     
05/20/2024	     11:10:51	       45432.757535475	141.000000	     -1.612771e+00	                                                                                                     
05/20/2024	     11:10:52	       45432.757547049	142.000000	     -1.640514e+00	                                                                                                     
05/20/2024	     11:10:53	       45432.757558623	143.000000	     -1.662166e+00	                                                                                                     
05/20/2024	     11:10:54	       45432.757570197	144.000000	     -1.643473e+00	                                                                                                     
05/20/2024	     11:10:55	       45432.757581771	145.000000	     -1.662709e+00	                                                                                                     
05/20/2024	     11:10:56	       45432.757593345	146.000000	     -1.647419e+00	                                                                                                     
05/20/2024	     11:10:57	       45432.757604919	147.000000	     -1.645446e+00	                                                                                                     
05/20/2024	     11:10:58	       45432.757616493	148.000000	     -1.591316e+00	                                                                                                     
05/20/2024	     11:10:59	       45432.757628067	149.000000	     -1.603671e+00	                                                                                                     
05/20/2024	     11:11:00	       45432.757639641	150.000000	     -1.645841e+00	                                                                                                     
05/20/2024	     11:11:01	       45432.757651215	151.000000	     -1.642142e+00	                                                                                                     
05/20/2024	     11:11:02	       45432.757662789	152.000000	     -1.600145e+00	                                                                                                     
05/20/2024	     11:11:03	       45432.757674363	153.000000	     -1.616421e+00	                                                                                                     
05/20/2024	     11:11:04	       45432.757685937	154.000000	     -1.589910e+00	                                                                                                     
05/20/2024	     11:11:05	       45432.757697512	155.000000	     -1.611735e+00	                                                                                                     
05/20/2024	     11:11:06	       45432.757709086	156.000000	     -1.643276e+00	                                                                                                     
05/20/2024	     11:11:07	       45432.757720660	157.000000	     -1.649910e+00	                                                                                                     
05/20/2024	     11:11:08	       45432.757732234	158.000000	     -1.650773e+00	                                                                                                     
05/20/2024	     11:11:09	       45432.757743808	159.000000	     -1.654620e+00	                                                                                                     
05/20/2024	     11:11:10	       45432.757755382	160.000000	     -1.690230e+00	                                                                                                     
05/20/2024	     11:11:11	       45432.757766956	161.000000	     -1.688948e+00	                                                                                                     
05/20/2024	     11:11:12	       45432.757778530	162.000000	     -1.667468e+00	                                                                                                     
05/20/2024	     11:11:13	       45432.757790104	163.000000	     -1.669811e+00	                                                                                                     
05/20/2024	     11:11:14	       45432.757801678	164.000000	     -1.686309e+00	                                                                                                     
05/20/2024	     11:11:15	       45432.757813252	165.000000	     -1.709589e+00	                                                                                                     
05/20/2024	     11:11:16	       45432.757824826	166.000000	     -1.718343e+00	                                                                                                     
05/20/2024	     11:11:17	       45432.757836400	167.000000	     -1.724015e+00	                                                                                                     
05/20/2024	     11:11:18	       45432.757847975	168.000000	     -1.716987e+00	                                                                                                     
05/20/2024	     11:11:19	       45432.757859549	169.000000	     -1.730846e+00	                                                                                                     
05/20/2024	     11:11:20	       45432.757871123	170.000000	     -1.703991e+00	                                                                                                     
05/20/2024	     11:11:21	       45432.757882697	171.000000	     -1.687073e+00	                                                                                                     
05/20/2024	     11:11:22	       45432.757894271	172.000000	     -1.715976e+00	                                                                                                     
05/20/2024	     11:11:23	       45432.757905845	173.000000	     -1.899451e+00	                                                                                                     
05/20/2024	     11:11:24	       45432.757917419	174.000000	     -1.509591e+00	                                                                                                     
05/20/2024	     11:11:25	       45432.757928993	175.000000	     -1.469764e+00	                                                                                                     
05/20/2024	     11:11:26	       45432.757940567	176.000000	     -1.275659e+00	                                                                                                     
05/20/2024	     11:11:27	       45432.757952141	177.000000	     -1.156820e+00	                                                                                                     
05/20/2024	     11:11:28	       45432.757963715	178.000000	     -1.065082e+00	                                                                                                     
05/20/2024	     11:11:29	       45432.757975289	179.000000	     -1.043134e+00	                                                                                                     
05/20/2024	     11:11:30	       45432.757986863	180.000000	     -1.015021e+00	                                                                                                     
05/20/2024	     11:11:31	       45432.757998437	181.000000	     -9.964267e-01	                                                                                                     
05/20/2024	     11:11:32	       45432.758010012	182.000000	     -9.991393e-01	                                                                                                     
05/20/2024	     11:11:33	       45432.758021586	183.000000	     -9.737882e-01	                                                                                                     
05/20/2024	     11:11:34	       45432.758033160	184.000000	     -9.730484e-01	                                                                                                     
05/20/2024	     11:11:35	       45432.758044734	185.000000	     -9.771420e-01	                                                                                                     
05/20/2024	     11:11:36	       45432.758056308	186.000000	     -9.767475e-01	                                                                                                     
05/20/2024	     11:11:37	       45432.758067882	187.000000	     -9.707549e-01	                                                                                                     
05/20/2024	     11:11:38	       45432.758079456	188.000000	     -9.672038e-01	                                                                                                     
05/20/2024	     11:11:39	       45432.758091030	189.000000	     -9.713961e-01	                                                                                                     
05/20/2024	     11:11:40	       45432.758102604	190.000000	     -9.584739e-01	                                                                                                     
05/20/2024	     11:11:41	       45432.758114178	191.000000	     -9.444666e-01	                                                                                                     
05/20/2024	     11:11:42	       45432.758125752	192.000000	     -9.342571e-01	                                                                                                     
05/20/2024	     11:11:43	       45432.758137326	193.000000	     -9.214829e-01	                                                                                                     
05/20/2024	     11:11:44	       45432.758148900	194.000000	     -9.387454e-01	                                                                                                     
05/20/2024	     11:11:45	       45432.758160475	195.000000	     -9.591397e-01	                                                                                                     
05/20/2024	     11:11:46	       45432.758172049	196.000000	     -1.007894e+00	                                                                                                     
05/20/2024	     11:11:47	       45432.758183623	197.000000	     -9.561558e-01	                                                                                                     
05/20/2024	     11:11:48	       45432.758195197	198.000000	     -9.081908e-01	                                                                                                     
05/20/2024	     11:11:49	       45432.758206771	199.000000	     -9.948730e-01	                                                                                                     
05/20/2024	     11:11:50	       45432.758218345	200.000000	     -9.680176e-01	                                                                                                     
05/20/2024	     11:11:51	       45432.758229919	201.000000	     -9.740101e-01	                                                                                                     
05/20/2024	     11:11:52	       45432.758241493	202.000000	     -9.800027e-01	                                                                                                     
05/20/2024	     11:11:53	       45432.758253067	203.000000	     -9.859952e-01	                                                                                                     
05/20/2024	     11:11:54	       45432.758264641	204.000000	     -9.877708e-01	                                                                                                     
05/20/2024	     11:11:55	       45432.758276215	205.000000	     -9.811124e-01	                                                                                                     
05/20/2024	     11:11:56	       45432.758287789	206.000000	     -9.744540e-01	                                                                                                     
05/20/2024	     11:11:57	       45432.758299363	207.000000	     -9.677956e-01	                                                                                                     
05/20/2024	     11:11:58	       45432.758310937	208.000000	     -9.642445e-01	                                                                                                     
05/20/2024	     11:11:59	       45432.758322512	209.000000	     -9.622470e-01	                                                                                                     
05/20/2024	     11:12:00	       45432.758334086	210.000000	     -9.602495e-01	                                                                                                     
05/20/2024	     11:12:01	       45432.758345660	211.000000	     -9.582520e-01	                                                                                                     
05/20/2024	     11:12:02	       45432.758357234	212.000000	     -9.655762e-01	                                                                                                     
05/20/2024	     11:12:03	       45432.758368808	213.000000	     -9.729004e-01	                                                                                                     
05/20/2024	     11:12:04	       45432.758380382	214.000000	     -9.802246e-01	                                                                                                     
05/20/2024	     11:12:05	       45432.758391956	215.000000	     -9.893244e-01	                                                                                                     
05/20/2024	     11:12:06	       45432.758403530	216.000000	     -1.001975e+00	                                                                                                     
05/20/2024	     11:12:07	       45432.758415104	217.000000	     -1.014626e+00	                                                                                                     
05/20/2024	     11:12:08	       45432.758426678	218.000000	     -1.027277e+00	                                                                                                     
05/20/2024	     11:12:09	       45432.758438252	219.000000	     -1.028387e+00	                                                                                                     
05/20/2024	     11:12:10	       45432.758449826	220.000000	     -1.023726e+00	                                                                                                     
05/20/2024	     11:12:11	       45432.758461400	221.000000	     -1.019065e+00	                                                                                                     
05/20/2024	     11:12:12	       45432.758472975	222.000000	     -1.014404e+00	                                                                                                     
05/20/2024	     11:12:13	       45432.758484549	223.000000	     -1.019731e+00	                                                                                                     
05/20/2024	     11:12:14	       45432.758496123	224.000000	     -1.025058e+00	                                                                                                     
05/20/2024	     11:12:15	       45432.758507697	225.000000	     -1.030384e+00	                                                                                                     
05/20/2024	     11:12:16	       45432.758519271	226.000000	     -1.036377e+00	                                                                                                     
05/20/2024	     11:12:17	       45432.758530845	227.000000	     -1.043701e+00	                                                                                                     
05/20/2024	     11:12:18	       45432.758542419	228.000000	     -1.051025e+00	                                                                                                     
05/20/2024	     11:12:19	       45432.758553993	229.000000	     -1.058350e+00	                                                                                                     
05/20/2024	     11:12:20	       45432.758565567	230.000000	     -1.057684e+00
